CD_PACOTE,CD_ITEM,CD_PREST,TP_ACOMODACAO,DT_INI_VIGENCIA,IND_ABRANG_GEOGR,NR_IDADE_MIN,NR_IDADE_MAX,FG_PACOTE_A1200,FG_CIRURGICO,ID_ORIGEM
87000003,99999927,,9,01/01/2019,1,,,S,,1028915
87000003,99999935,,9,01/01/2019,1,,,S,,1028915
87000004,99999919,,9,01/01/2019,1,,,S,,1028916
87000004,99999927,,9,01/01/2019,1,,,S,,1028916
87000004,99999935,,9,01/01/2019,1,,,S,,1028916
87000005,99999919,,9,01/01/2019,1,,,S,,1028917
87000005,99999927,,9,01/01/2019,1,,,S,,1028917
87000005,99999935,,9,01/01/2019,1,,,S,,1028917
87000006,99999919,,9,01/01/2019,1,,,S,,1028919
87000006,99999927,,9,01/01/2019,1,,,S,,1028919
87000006,99999935,,9,01/01/2019,1,,,S,,1028919
87000012,99999919,,9,01/01/2019,1,,,S,,1033806
87000012,99999927,,9,01/01/2019,1,,,S,,1033806
87000012,99999935,,9,01/01/2019,1,,,S,,1033806
87000013,99999919,,9,01/01/2019,1,,,S,,1033807
87000013,99999927,,9,01/01/2019,1,,,S,,1033807
87000013,99999935,,9,01/01/2019,1,,,S,,1033807
87000014,99999919,,9,01/01/2019,1,,,S,,1033808
87000014,99999927,,9,01/01/2019,1,,,S,,1033808
87000014,99999935,,9,01/01/2019,1,,,S,,1033808
87000015,99999919,,9,01/01/2019,1,,,S,,1033809
87000015,99999927,,9,01/01/2019,1,,,S,,1033809
87000015,99999935,,9,01/01/2019,1,,,S,,1033809
87000016,99999919,,9,01/01/2019,1,,,S,,1033810
87000016,99999927,,9,01/01/2019,1,,,S,,1033810
87000016,99999935,,9,01/01/2019,1,,,S,,1033810
87000017,99999919,,9,01/01/2019,1,,,S,,1033811
87000017,99999927,,9,01/01/2019,1,,,S,,1033811
87000017,99999935,,9,01/01/2019,1,,,S,,1033811
87000018,99999919,,9,01/01/2019,1,,,S,,1033812
87000018,99999927,,9,01/01/2019,1,,,S,,1033812
87000018,99999935,,9,01/01/2019,1,,,S,,1033812
87000019,99999919,,9,01/01/2019,1,,,S,,1033813
87000019,99999927,,9,01/01/2019,1,,,S,,1033813
87000019,99999935,,9,01/01/2019,1,,,S,,1033813
87000020,99999919,,9,01/01/2019,1,,,S,,1033814
87000020,99999927,,9,01/01/2019,1,,,S,,1033814
87000020,99999935,,9,01/01/2019,1,,,S,,1033814
87000021,99999919,,9,01/01/2019,1,,,S,,1033815
87000021,99999927,,9,01/01/2019,1,,,S,,1033815
87000021,99999935,,9,01/01/2019,1,,,S,,1033815
87000022,99999919,,9,01/01/2019,1,,,S,,1033816
87000022,99999927,,9,01/01/2019,1,,,S,,1033816
87000022,99999935,,9,01/01/2019,1,,,S,,1033816
85004004,99999919,,9,01/01/2019,1,,,S,,1033896
85004004,99999927,,9,01/01/2019,1,,,S,,1033896
85004004,99999935,,9,01/01/2019,1,,,S,,1033896
85004004,72613432,,9,01/01/2019,1,,,S,,1033896
85004004,72600829,,9,01/01/2019,1,,,S,,1033896
85004004,00261890,,9,01/01/2019,1,,,S,,1033896
85004004,00267619,,9,01/01/2019,1,,,S,,1033896
85004004,79058078,,9,01/01/2019,1,,,S,,1033896
85009001,99999919,,9,01/01/2019,1,,,S,,1222062
85009001,99999927,,9,01/01/2019,1,,,S,,1222062
85009001,99999935,,9,01/01/2019,1,,,S,,1222062
86000014,99999919,,9,01/01/2019,1,,,S,,1222063
86000014,99999927,,9,01/01/2019,1,,,S,,1222063
86000014,99999935,,9,01/01/2019,1,,,S,,1222063
87000023,99999919,,9,01/01/2019,1,,,S,,1222064
87000023,99999927,,9,01/01/2019,1,,,S,,1222064
87000023,99999935,,9,01/01/2019,1,,,S,,1222064
85003006,99999927,,9,01/01/2019,1,,,S,,1222065
85003006,99999935,,9,01/01/2019,1,,,S,,1222065
85003006,00637181,,9,01/01/2019,1,,,S,,1222065
88000001,40401014,,9,01/01/2019,1,,,S,,1222066
88000001,40402045,,9,01/01/2019,1,,,S,,1222066
88000001,40403424,,9,01/01/2019,1,,,S,,1222066
88000001,40403440,,9,01/01/2019,1,,,S,,1222066
88000001,40403467,,9,01/01/2019,1,,,S,,1222066
88000001,40403483,,9,01/01/2019,1,,,S,,1222066
88000001,40403505,,9,01/01/2019,1,,,S,,1222066
88000001,40403548,,9,01/01/2019,1,,,S,,1222066
88000001,40403661,,9,01/01/2019,1,,,S,,1222066
88000001,99999919,,9,01/01/2019,1,,,S,,1222066
88000001,40403262,,9,01/01/2019,1,,,S,,1222066
88000001,40403289,,9,01/01/2019,1,,,S,,1222066
88000001,40403890,,9,01/01/2019,1,,,S,,1222066
88000002,40401014,,9,01/01/2019,1,,,S,,1222067
88000002,40402053,,9,01/01/2019,1,,,S,,1222067
88000002,40403424,,9,01/01/2019,1,,,S,,1222067
88000002,40403440,,9,01/01/2019,1,,,S,,1222067
88000002,40403467,,9,01/01/2019,1,,,S,,1222067
88000002,40403483,,9,01/01/2019,1,,,S,,1222067
88000002,40403505,,9,01/01/2019,1,,,S,,1222067
88000002,40403548,,9,01/01/2019,1,,,S,,1222067
88000002,40403661,,9,01/01/2019,1,,,S,,1222067
88000002,99999919,,9,01/01/2019,1,,,S,,1222067
88000002,40403262,,9,01/01/2019,1,,,S,,1222067
88000002,40403289,,9,01/01/2019,1,,,S,,1222067
88000002,40403890,,9,01/01/2019,1,,,S,,1222067
88000003,40401014,,9,01/01/2019,1,,,S,,1222068
88000003,40402096,,9,01/01/2019,1,,,S,,1222068
88000003,40403424,,9,01/01/2019,1,,,S,,1222068
88000003,40403440,,9,01/01/2019,1,,,S,,1222068
88000003,40403467,,9,01/01/2019,1,,,S,,1222068
88000003,40403483,,9,01/01/2019,1,,,S,,1222068
88000003,40403505,,9,01/01/2019,1,,,S,,1222068
88000003,40403602,,9,01/01/2019,1,,,S,,1222068
88000003,40403661,,9,01/01/2019,1,,,S,,1222068
