CD_PLANO,CD_GRUPO,NR_DIAS_CARENCIA,ID_ORIGEM
1007,62,0,33421
1007,63,0,33422
1007,64,0,33423
1007,65,0,33424
1007,66,0,33425
1007,67,0,33426
1007,68,0,33427
1007,69,0,33428
1007,70,0,33429
1007,71,0,33430
1007,72,0,33431
1007,73,0,33432
1007,74,0,33433
1007,75,0,33434
1007,76,0,33435
1007,77,0,33436
1007,78,0,33437
1007,79,0,33438
1007,80,0,33439
1007,81,0,33440
1007,82,0,33441
1007,83,0,33442
1007,85,0,33443
1007,86,0,33444
1007,87,0,33445
1007,88,0,33446
1007,89,0,33447
1007,235,0,33448
1007,300,0,515903
1007,301,0,516387
1007,302,0,520479
1007,303,0,524580
1007,950,0,1200856
12055,1,0,1269757
12055,235,0,1269758
12055,302,0,1269761
12055,303,0,1269762
12055,39005,0,1269763
12055,39006,0,1269764
12055,39007,0,1269765
12055,39008,0,1269766
12055,39010,0,1269767
12055,908,0,1269768
12055,311,0,1269821
1640036B,1,0,33969
1640036B,2,0,33970
1640036B,3,0,33971
1640036B,4,0,33972
1640036B,5,0,33973
1640036B,6,0,33974
1640036B,7,0,33975
1640036B,8,0,33976
1640036B,9,0,33977
1640036B,10,0,33978
1640036B,11,0,33979
1640036B,12,0,33980
1640036B,13,0,33981
1640036B,14,0,33982
1640036B,15,0,33983
1640036B,16,0,33984
1640036B,17,0,33985
1640036B,18,0,33986
1640036B,19,0,33987
1640036B,20,0,33988
1640036B,21,0,33989
1640036B,22,0,33990
1640036B,23,0,33991
1640036B,24,0,33992
1640036B,25,0,33993
1640036B,26,0,33994
1640036B,27,0,33995
1640036B,28,0,33996
1640036B,29,0,33997
1640036B,30,0,33998
1640036B,31,0,33999
1640036B,33,0,34000
1640036B,34,0,34001
1640036B,35,0,34002
1640036B,36,0,34003
1640036B,37,0,34004
1640036B,38,0,34005
1640036B,39,0,34006
1640036B,40,0,34007
1640036B,41,0,34008
1640036B,43,0,34009
1640036B,44,0,34010
1640036B,45,0,34011
1640036B,47,0,34012
1640036B,48,0,34013
1640036B,49,0,34014
1640036B,50,0,34015
1640036B,51,0,34016
1640036B,52,0,34017
1640036B,53,0,34018
1640036B,54,0,34019
1640036B,55,0,34020
1640036B,56,0,34021
1640036B,57,0,34022
1640036B,58,0,34023
1640036B,59,0,34024
1640036B,60,0,34025
1640036B,61,0,34026
1640036B,62,0,34027
1640036B,63,0,34028
1640036B,64,0,34029
1640036B,65,0,34030
1640036B,66,0,34031
1640036B,67,0,34032
1640036B,68,0,34033
1640036B,69,0,34034
1640036B,70,0,34035
1640036B,71,0,34036
1640036B,72,0,34037
1640036B,73,0,34038
1640036B,74,0,34039
1640036B,75,0,34040
1640036B,76,0,34041
1640036B,77,0,34042
1640036B,78,0,34043
1640036B,79,0,34044
1640036B,80,0,34045
1640036B,81,0,34046
1640036B,82,0,34047
1640036B,83,0,34048
1640036B,84,0,34049
1640036B,85,0,34050
1640036B,86,0,34051
1640036B,87,0,34052
1640036B,88,0,34053
1640036B,89,0,34054
1640036B,235,0,34055
1640036B,300,0,515912
1640036B,301,0,516396
1640036B,302,0,520486
1640036B,303,0,524587
1640036B,950,0,1193308
1640037A,1,0,34056
1640037A,2,0,34057
1640037A,3,0,34058
1640037A,4,0,34059
1640037A,5,0,34060
1640037A,6,0,34061
1640037A,7,0,34062
1640037A,8,0,34063
1640037A,9,0,34064
1640037A,10,0,34065
1640037A,11,0,34066
1640037A,12,0,34067
1640037A,13,0,34068
1640037A,14,0,34069
1640037A,15,0,34070
1640037A,16,0,34071
1640037A,17,0,34072
1640037A,18,0,34073
1640037A,19,0,34074
1640037A,20,0,34075
1640037A,21,0,34076
1640037A,22,0,34077
1640037A,23,0,34078
1640037A,24,0,34079
1640037A,25,0,34080
1640037A,26,0,34081
1640037A,27,0,34082
1640037A,28,0,34083
1640037A,29,0,34084
1640037A,30,0,34085
1640037A,31,0,34086
1640037A,33,0,34087
1640037A,34,0,34088
1640037A,35,0,34089
1640037A,36,0,34090
1640037A,37,0,34091
1640037A,38,0,34092
1640037A,39,0,34093
1640037A,40,0,34094
1640037A,41,0,34095
1640037A,43,0,34096
1640037A,44,0,34097
1640037A,45,0,34098
1640037A,47,0,34099
1640037A,48,0,34100
1640037A,49,0,34101
1640037A,50,0,34102
1640037A,51,0,34103
1640037A,52,0,34104
1640037A,53,0,34105
1640037A,54,0,34106
1640037A,55,0,34107
1640037A,56,0,34108
1640037A,57,0,34109
1640037A,58,0,34110
1640037A,59,0,34111
1640037A,60,0,34112
1640037A,61,0,34113
1640037A,62,0,34114
1640037A,63,0,34115
1640037A,64,0,34116
1640037A,65,0,34117
1640037A,66,0,34118
1640037A,67,0,34119
1640037A,68,0,34120
1640037A,69,0,34121
1640037A,70,0,34122
1640037A,71,0,34123
1640037A,72,0,34124
1640037A,73,0,34125
1640037A,74,0,34126
1640037A,75,0,34127
1640037A,76,0,34128
1640037A,77,0,34129
1640037A,78,0,34130
1640037A,79,0,34131
1640037A,80,0,34132
1640037A,81,0,34133
1640037A,82,0,34134
1640037A,83,0,34135
