CD_PLANO,CD_MUNIC,TP_SITUACAO,ID_ORIGEM
1643406A,3153004,I,2748
1643406A,3168101,I,2749
1643406A2,3104007,I,2576
1643406A2,3111507,I,2571
1643406A2,3129509,I,2570
1643406A2,3149200,I,2575
1643406A2,3149804,I,2572
1643406A2,3153004,I,2573
1643406A2,3168101,I,2574
1643406B2,3104007,I,2912
1643406B2,3111507,I,2907
1643406B2,3129509,I,2906
1643406B2,3149200,I,2911
1643406B2,3149804,I,2908
1643406B2,3153004,I,2909
1643406B2,3168101,I,2910
1643406B3,3104007,I,2254
1643406B3,3111507,I,2249
1643406B3,3129509,I,2248
1643406B3,3149200,I,2253
1643406B3,3149804,I,2250
1643406B3,3153004,I,2251
1643406B3,3168101,I,2252
164340743,3104007,I,2401
164340743,3111507,I,2396
164340743,3129509,I,2395
164340743,3149200,I,2400
164340743,3149804,I,2397
164340743,3153004,I,2398
164340743,3168101,I,2399
164340745,3104007,I,2296
164340745,3111507,I,2291
164340745,3129509,I,2290
164340745,3149200,I,2295
164340745,3149804,I,2292
164340745,3153004,I,2293
164340745,3168101,I,2294
1643407A,3104007,I,2569
1643407A,3111507,I,2564
1643407A,3129509,I,2563
1643407A,3149200,I,2568
1643407A,3149804,I,2565
1643407A,3153004,I,2566
1643407A,3168101,I,2567
1643407B,3104007,I,2471
1643407B,3111507,I,2466
1643407B,3129509,I,2465
1643407B,3149200,I,2470
1643407B,3149804,I,2467
1643407B,3153004,I,2468
1643407B,3168101,I,2469
1643407B2,3104007,I,2856
1643407B2,3111507,I,2851
1643407B2,3129509,I,2850
1643407B2,3149200,I,2855
1643407B2,3149804,I,2852
1643407B2,3153004,I,2853
1643407B2,3168101,I,2854
164340843,3104007,I,2513
164340843,3111507,I,2508
164340843,3129509,I,2507
164340843,3149200,I,2512
164340843,3149804,I,2509
164340843,3153004,I,2510
164340843,3168101,I,2511
164340845,3104007,I,2548
164340845,3111507,I,2543
164340845,3129509,I,2542
164340845,3149200,I,2547
164340845,3149804,I,2544
164340845,3153004,I,2545
164340845,3168101,I,2546
1643408A,3104007,I,2310
1643408A,3111507,I,2305
1643408A,3129509,I,2304
1643408A,3149200,I,2309
1643408A,3149804,I,2306
1643408A,3153004,I,2307
1643408A,3168101,I,2308
1643408A3,3104007,I,2688
1643408A3,3111507,I,2683
1643408A3,3129509,I,2682
1643408A3,3149200,I,2687
1643408A3,3149804,I,2684
1643408A3,3153004,I,2685
1643408A3,3168101,I,2686
1643408B,3104007,I,2996
1643408B,3111507,I,2991
1643408B,3153004,I,2993
1643408B,3168101,I,2994
1643408B,3129509,I,2990
1643408B,3149200,I,2995
1643408B,3149804,I,2992
1643408B3,3104007,I,2660
1643408B3,3111507,I,2655
1643408B3,3153004,I,2657
1643408B3,3168101,I,2658
1643408B3,3129509,I,2654
1643408B3,3149200,I,2659
1643408B3,3149804,I,2656
164340943,3104007,I,2527
164340943,3149804,I,2523
164340943,3153004,I,2524
164340943,3168101,I,2525
164340943,3111507,I,2522
164340943,3129509,I,2521
164340943,3149200,I,2526
164340945,3104007,I,2618
164340945,3111507,I,2613
164340945,3129509,I,2612
164340945,3149200,I,2617
164340945,3149804,I,2614
164340945,3153004,I,2615
164340945,3168101,I,2616
1643409A2,3104007,I,2331
1643409A2,3111507,I,2326
1643409A2,3129509,I,2325
1643409A2,3149200,I,2330
1643409A2,3149804,I,2327
1643409A2,3153004,I,2328
1643409A2,3168101,I,2329
1643409B2,3104007,I,2499
1643409B2,3111507,I,2494
1643409B2,3129509,I,2493
1643409B2,3149200,I,2498
1643409B2,3149804,I,2495
1643409B2,3153004,I,2496
1643409B2,3168101,I,2497
164341045,3104007,I,2492
164341045,3111507,I,2487
164341045,3129509,I,2486
164341045,3149200,I,2491
164341045,3149804,I,2488
164341045,3153004,I,2489
164341045,3168101,I,2490
164341061,3104007,I,3052
164341061,3111507,I,3047
164341061,3129509,I,3046
164341061,3149200,I,3051
164341061,3149804,I,3048
164341061,3153004,I,3049
164341061,3168101,I,3050
1643410A2,3104007,I,2303
1643410A2,3111507,I,2298
1643410A2,3129509,I,2297
1643410A2,3149200,I,2302
1643410A2,3149804,I,2299
1643410A2,3153004,I,2300
1643410A2,3168101,I,2301
1643410C2,3104007,I,2919
1643410C2,3111507,I,2914
1643410C2,3129509,I,2913
1643410C2,3149200,I,2918
1643410C2,3149804,I,2915
1643410C2,3153004,I,2916
1643410C2,3168101,I,2917
164341143,3104007,I,2324
164341143,3111507,I,2319
164341143,3129509,I,2318
164341143,3149200,I,2323
164341143,3149804,I,2320
164341143,3153004,I,2321
164341143,3168101,I,2322
164341145,3104007,I,2240
164341145,3111507,I,2235
164341145,3129509,I,2234
164341145,3149200,I,2239
164341145,3149804,I,2236
164341145,3153004,I,2237
164341145,3168101,I,2238
1643411A2,3104007,I,2478
1643411A2,3111507,I,2473
1643411A2,3129509,I,2472
1643411A2,3168101,I,2476
1643411A2,3149200,I,2477
1643411A2,3149804,I,2474
1643411A2,3153004,I,2475
164341245,3104007,I,2898
164341245,3111507,I,2893
164341245,3129509,I,2892
164341245,3149200,I,2897
164341245,3149804,I,2894
164341245,3153004,I,2895
164341245,3168101,I,2896
1643412B2,3104007,I,2954
1643412B2,3153004,I,2951
1643412B2,3168101,I,2952
1643412B2,3111507,I,2949
1643412B2,3129509,I,2948
1643412B2,3149200,I,2953
1643412B2,3149804,I,2950
164411045,3104007,I,2835
164411045,3111507,I,2830
164411045,3129509,I,2829
164411045,3149200,I,2834
164411045,3149804,I,2831
164411045,3153004,I,2832
164411045,3168101,I,2833
164420845,3104007,I,2352
164420845,3111507,I,2347
164420845,3129509,I,2346
164420845,3149200,I,2351
164420845,3149804,I,2348
164420845,3153004,I,2349
164420845,3168101,I,2350
164430743,3104007,I,2646
164430743,3111507,I,2641
164430743,3129509,I,2640
164430743,3168101,I,2644
164430743,3149200,I,2645
164430743,3149804,I,2642
164430743,3153004,I,2643
164431045,3104007,I,2716
164431045,3111507,I,2711
164431045,3153004,I,2713
164431045,3168101,I,2714
164431045,3129509,I,2710
164431045,3149200,I,2715
164431045,3149804,I,2712
164440643,3104007,I,2415
164440643,3111507,I,2410
164440643,3129509,I,2409
164440643,3149200,I,2414
164440643,3149804,I,2411
164440643,3153004,I,2412
164440643,3168101,I,2413
164440645,3104007,I,2261
164440645,3111507,I,2256
164440645,3129509,I,2255
164440645,3149200,I,2260
164440645,3149804,I,2257
164440645,3153004,I,2258
164440645,3168101,I,2259
164440745,3104007,I,2730
164440745,3111507,I,2725
164440745,3129509,I,2724
164440745,3149200,I,2729
164440745,3149804,I,2726
164440745,3153004,I,2727
