CD_GRUPO,CD_ITEM,ID_ORIGEM
29441,71003541,268785
29441,71003606,268786
29441,71007644,269034
29441,71007652,269035
29441,71007660,269036
29441,71007679,269037
29441,71007806,269050
29441,71007814,269051
29441,71016902,269436
29441,71019766,269619
29441,71019774,269620
29441,71019782,269621
29441,71019790,269622
29441,71021825,269721
29441,71025065,269789
29441,71025405,269802
29441,71025413,269803
29441,71025464,269804
29441,71025561,269805
29441,71025677,269806
29441,71027831,269853
29441,71027890,269854
29441,71027920,269855
29441,71027939,269856
29441,71031170,269936
29441,71045228,270086
29441,71052399,270138
29441,71053930,270154
29441,71053956,270155
29441,71078940,270404
29441,71078959,270405
29441,71078967,270406
29441,71079009,270407
29441,71079149,270421
29441,71079157,270422
29441,71079165,270423
29441,71079173,270424
29441,71089462,270756
29441,71098267,271026
29441,71116443,271374
29441,71116451,271375
29441,71126848,271574
29441,71126856,271575
29441,71126864,271576
29441,71126872,271577
29441,71127500,271591
29441,71127518,271592
29441,71127526,271593
29441,71127534,271594
29441,71160426,273279
29441,71160434,273280
29441,71160442,273281
29441,71160450,273282
29441,71161058,273295
29441,71161074,273296
29441,71161090,273297
29441,71161120,273298
29441,71161295,273312
29441,71161538,273313
29441,71161554,273314
29441,71161562,273315
29441,71161708,273329
29441,71161716,273330
29441,71161724,273331
29441,71161732,273332
29441,71162100,273346
29441,71162119,273347
29441,71162127,273348
29441,71162135,273349
29441,71162470,273362
29441,71162488,273363
29441,71162496,273364
29441,71162500,273365
29441,71163107,273379
29441,71163280,273380
29441,71163336,273381
29441,71163344,273382
29441,71163646,273396
29441,71163662,273397
29441,71163670,273398
29441,71163689,273399
29441,71164081,273412
29441,71164090,273413
29441,71164103,273414
29441,71164162,273415
29441,71164316,273429
29441,71164324,273430
21728,20102011,21773
21767,20102020,21774
21759,20102038,21775
21997,20103204,21789
21997,20103212,21790
21997,20103220,21791
21997,20103239,21792
21997,20103247,21793
21997,20103433,21806
21997,20103450,21807
21997,20103468,21808
21997,20103476,21809
21699,20104022,21823
29441,79900097,2311
29441,79969003,7609
29441,79969011,7610
29441,79969046,7611
29441,79969305,7626
29441,79969313,7627
29441,79969321,7628
29441,79969330,7629
29441,79969577,7642
29441,79969585,7643
29441,79969593,7644
29441,79969607,7645
29441,79969887,7659
29441,79969895,7660
29441,79969909,7661
29441,79969917,7662
29441,79970060,7676
29441,79970079,7677
29441,79970087,7678
29441,79970265,7694
29441,79970273,7695
29441,79970281,7696
29441,79970583,7709
29441,79970605,7711
